F5;F7;F10;F9
;;;
;;;
ID colaborador;Código del cargo;Area;Fecha_Informacion
101434;4L1081;REGISTRO Y SUBSIDIO - 260  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;jul-18
101434;4L1081;REGISTRO Y SUBSIDIO - 260  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;ago-18
101463;4L1081;FOSFEC - 20111  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;jul-18
101463;4L1081;FOSFEC - 20111  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;ago-18
101484;4L1081;SUBSIDIO PARA NO AFILIADOS - 21304  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;jul-18
101484;4L1081;SUBSIDIO PARA NO AFILIADOS - 21304  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;ago-18
101675;4L1081;FOSFEC - 20111  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;jul-18
101675;4L1081;FOSFEC - 20111  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;ago-18
101731;4L1081;REGISTRO Y SUBSIDIO - 260  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;jul-18
101731;4L1081;REGISTRO Y SUBSIDIO - 260  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;ago-18
101732;4L1081;REGISTRO Y SUBSIDIO - 260  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;jul-18
101732;4L1081;REGISTRO Y SUBSIDIO - 260  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;ago-18
101815;4L1081;REGISTRO Y SUBSIDIO - 260  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;jul-18
101815;4L1081;REGISTRO Y SUBSIDIO - 260  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;ago-18
101837;4L1081;REGISTRO Y SUBSIDIO - 260  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;jul-18
101837;4L1081;REGISTRO Y SUBSIDIO - 260  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;ago-18
101852;4L1081;HOGARES SOACHA - 21307  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;jul-18
101852;4L1081;HOGARES SOACHA - 21307  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;ago-18
101888;4L1081;REGISTRO Y SUBSIDIO - 260  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;jul-18
101888;4L1081;REGISTRO Y SUBSIDIO - 260  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;ago-18
101927;4L1081;REGISTRO Y SUBSIDIO - 260  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;jul-18
101927;4L1081;REGISTRO Y SUBSIDIO - 260  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;ago-18
101955;4L1081;REGISTRO Y SUBSIDIO - 260  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;jul-18
101955;4L1081;REGISTRO Y SUBSIDIO - 260  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;ago-18
102064;4L1081;REGISTRO Y SUBSIDIO - 260  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;jul-18
