,ID colaborador,Codigo_Cargo,Descripcion,horas_no_trabajadas,horas_totales_contratadas
0,100000,5D1291,AUXILIAR 1,0.0,240
1,100003,5D1291,AUXILIAR 1,0.0,240
2,100005,5D1291,AUXILIAR 1,8.0,240
3,100012,5D1291,AUXILIAR 1,274.0,240
4,100022,5D1291,AUXILIAR 1,60.0,240
5,100024,5D1291,AUXILIAR 1,26.0,240
6,100027,5D1291,AUXILIAR 1,9.0,240
7,100031,5D1291,AUXILIAR 1,4.0,240
8,100032,5D1291,AUXILIAR 1,2.25,240
9,100042,5D1291,AUXILIAR 1,122.5,240
10,100045,5D1291,AUXILIAR 1,108.3,240
11,100061,5D1291,AUXILIAR 1,67.0,240
12,100062,5D1291,AUXILIAR 1,50.0,240
13,100063,5D1291,AUXILIAR 1,46.0,240
14,100064,5D1291,AUXILIAR 1,31.32,240
15,100065,5D1291,AUXILIAR 1,187.0,240
16,100069,5D1291,AUXILIAR 1,16.92,240
17,100071,5D1291,AUXILIAR 1,4.0,240
18,100072,5D1291,AUXILIAR 1,157.9,240
19,100075,5D1291,AUXILIAR 1,143.0,240
20,100076,5D1291,AUXILIAR 1,43.5,240
21,100077,5D1291,AUXILIAR 1,37.0,240
22,100079,5D1291,AUXILIAR 1,142.0,240
23,100081,5D1291,AUXILIAR 1,18.0,240
24,100082,5D1291,AUXILIAR 1,19.83,240
25,100092,5D1291,AUXILIAR 1,42.0,240
26,100095,5D1291,AUXILIAR 1,50.0,240
27,100097,5D1291,AUXILIAR 1,42.0,240
28,100098,5D1291,AUXILIAR 1,39.5,240
29,100105,5D1291,AUXILIAR 1,25.0,240
30,100111,5D1291,AUXILIAR 1,69.5,240
31,100112,5D1291,AUXILIAR 1,6.0,240
32,100113,5D1291,AUXILIAR 1,8.0,240
33,100115,5D1291,AUXILIAR 1,116.96000000000001,240
34,100117,5D1291,AUXILIAR 1,138.0,240
35,100118,5D1291,AUXILIAR 1,14.0,240
36,100119,5D1291,AUXILIAR 1,19.0,240
37,100122,5D1291,AUXILIAR 1,58.0,240
38,100125,5D1291,AUXILIAR 1,74.0,240
39,100126,5D1291,AUXILIAR 1,16.0,240
40,100127,5D1291,AUXILIAR 1,95.94,240
41,100130,5D1291,AUXILIAR 1,14.0,240
42,100132,5D1291,AUXILIAR 1,18.0,240
43,100133,5D1291,AUXILIAR 1,7.98,240
44,100134,5D1291,AUXILIAR 1,138.0,240
45,100137,5D1291,AUXILIAR 1,0.0,240
46,100141,5D1291,AUXILIAR 1,86.5,240
47,100150,5D1291,AUXILIAR 1,32.0,240
48,100157,5D1291,AUXILIAR 1,121.0,240
49,100160,5D1291,AUXILIAR 1,19.0,240
50,100165,5D1291,AUXILIAR 1,24.0,240
51,100166,5D1291,AUXILIAR 1,0.0,240
52,100169,5D1291,AUXILIAR 1,4.0,240
53,100171,5D1291,AUXILIAR 1,4.0,240
54,100174,5D1291,AUXILIAR 1,204.5,240
55,100177,5D1291,AUXILIAR 1,50.0,240
56,100189,5D1291,AUXILIAR 1,72.0,240
57,100193,5D1291,AUXILIAR 1,20.0,240
58,100199,5D1291,AUXILIAR 1,172.0,240
59,100200,5D1291,AUXILIAR 1,52.33,240
60,100202,5D1291,AUXILIAR 1,73.5,240
61,100207,5D1291,AUXILIAR 1,58.0,240
62,100211,5D1291,AUXILIAR 1,59.0,240
63,100218,5D1291,AUXILIAR 1,134.0,240
64,100220,5D1291,AUXILIAR 1,105.0,240
65,100226,5D1291,AUXILIAR 1,0.0,240
66,100227,5D1291,AUXILIAR 1,205.0,240
67,100228,5D1291,AUXILIAR 1,52.0,240
68,100232,5D1291,AUXILIAR 1,26.5,240
69,100233,5D1291,AUXILIAR 1,52.0,240
70,100235,5D1291,AUXILIAR 1,41.0,240
71,100238,5D1291,AUXILIAR 1,25.0,240
72,100240,5D1291,AUXILIAR 1,146.0,240
73,100241,5D1291,AUXILIAR 1,82.0,240
74,100243,5D1291,AUXILIAR 1,0.0,240
75,100244,5D1291,AUXILIAR 1,9.25,240
76,100245,5D1291,AUXILIAR 1,37.5,240
77,100247,5D1291,AUXILIAR 1,2.0,240
78,100248,5D1291,AUXILIAR 1,32.0,240
79,100249,5D1291,AUXILIAR 1,22.5,240
80,100251,5D1291,AUXILIAR 1,8.25,240
81,100266,5D1291,AUXILIAR 1,64.0,240
82,100270,5D1291,AUXILIAR 1,126.0,240
83,100278,5D1291,AUXILIAR 1,42.0,240
84,100284,5D1291,AUXILIAR 1,81.0,240
85,100288,5D1291,AUXILIAR 1,42.0,240
86,100289,5D1291,AUXILIAR 1,115.75,240
87,100291,5D1291,AUXILIAR 1,0.0,240
88,100296,5D1291,AUXILIAR 1,289.0,240
89,100314,5D1291,AUXILIAR 1,71.0,240
90,100316,5D1291,AUXILIAR 1,8.0,240
91,100317,5D1291,AUXILIAR 1,20.0,240
92,100322,5D1291,AUXILIAR 1,12.0,240
93,100328,5D1291,AUXILIAR 1,8.0,240
94,100329,5D1291,AUXILIAR 1,4.0,240
95,100331,5D1291,AUXILIAR 1,16.0,240
96,100332,5D1291,AUXILIAR 1,75.0,240
97,100335,5D1291,AUXILIAR 1,66.0,240
98,100336,5D1291,AUXILIAR 1,344.0,240
99,100354,5D1291,AUXILIAR 1,12.0,240
100,100360,5D1291,AUXILIAR 1,24.5,240
101,100361,5D1291,AUXILIAR 1,4.0,240
102,100362,5D1291,AUXILIAR 1,66.5,240
103,100367,5D1291,AUXILIAR 1,0.0,240
104,100369,5D1291,AUXILIAR 1,36.0,240
105,100370,5D1291,AUXILIAR 1,42.1,240
106,100371,5D1291,AUXILIAR 1,19.0,240
107,100378,5D1291,AUXILIAR 1,35.0,240
108,100382,5D1291,AUXILIAR 1,4.0,240
109,100391,5D1291,AUXILIAR 1,50.0,240
110,100394,5D1291,AUXILIAR 1,79.25,240
111,100395,5D1291,AUXILIAR 1,44.0,240
112,100396,5D1291,AUXILIAR 1,28.0,240
113,100398,5D1291,AUXILIAR 1,83.25,240
114,100400,5D1291,AUXILIAR 1,58.0,240
115,100404,5D1291,AUXILIAR 1,51.5,240
116,100405,5D1291,AUXILIAR 1,77.5,240
117,100406,5D1291,AUXILIAR 1,84.0,240
118,100407,5D1291,AUXILIAR 1,23.5,240
119,100408,5D1291,AUXILIAR 1,62.0,240
120,100409,5D1291,AUXILIAR 1,40.0,240
121,100410,5D1291,AUXILIAR 1,9.98,240
122,100411,5D1291,AUXILIAR 1,19.5,240
123,100412,5D1291,AUXILIAR 1,76.0,240
124,100413,5D1291,AUXILIAR 1,66.23,240
125,100417,5D1291,AUXILIAR 1,16.75,240
126,100419,5D1291,AUXILIAR 1,4.0,240
127,100421,5D1291,AUXILIAR 1,81.0,240
128,100422,5D1291,AUXILIAR 1,0.0,240
129,100423,5D1291,AUXILIAR 1,28.0,240
130,100426,5D1291,AUXILIAR 1,27.75,240
131,100429,5D1291,AUXILIAR 1,117.0,240
132,100438,5D1291,AUXILIAR 1,57.0,240
133,100444,5D1291,AUXILIAR 1,36.0,240
134,100446,5D1291,AUXILIAR 1,51.0,240
135,100450,5D1291,AUXILIAR 1,10.28,240
136,100453,5D1291,AUXILIAR 1,19.0,240
137,100454,5D1291,AUXILIAR 1,25.5,240
138,100457,5D1291,AUXILIAR 1,33.5,240
139,100460,5D1291,AUXILIAR 1,109.0,240
140,100467,5D1291,AUXILIAR 1,74.5,240
141,100469,5D1291,AUXILIAR 1,139.5,240
142,100473,5D1291,AUXILIAR 1,26.0,240
143,100474,5D1291,AUXILIAR 1,8.0,240
144,100477,5D1291,AUXILIAR 1,60.25,240
145,100479,5D1291,AUXILIAR 1,10.0,240
146,100481,5D1291,AUXILIAR 1,28.25,240
147,100482,5D1291,AUXILIAR 1,40.0,240
148,100485,5D1291,AUXILIAR 1,57.980000000000004,240
149,100487,5D1291,AUXILIAR 1,30.0,240
